CB Link ID,Boro,Community Board,Latitude,Longitude,Link Installation Status,Smallest PPT,Street Address,Kiosk Bearing,Boro ID,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Location
LINK-004818,Manhattan,109,40.810378,-73.958320999999998,A - Link Live,142953,1253 AMSTERDAM AVENUE,313 NW,NY-MN,mn-09-142953,9/28/16,08/05/2016,"(40.810378, -73.958320999999998)"
LINK-004821,Manhattan,109,40.813668999999997,-73.956190000000007,A - Link Live,136200,1340 AMSTERDAM AVENUE,115 SE,NY-MN,mn-09-136200,9/13/16,08/19/2016,"(40.813668999999997, -73.956190000000007)"
LINK-005211,Manhattan,109,40.818370999999999,-73.952754999999996,A - Link Live,111948,1500 AMSTERDAM AVENUE,131 SE,NY-MN,mn-09-111948,7/21/16,07/14/2016,"(40.818370999999999, -73.952754999999996)"
LINK-005212,Manhattan,109,40.819600000000001,-73.951942000000003,A - Link Live,120561,502 WEST 136 STREET,30 NE,NY-MN,mn-09-120561,9/30/16,07/10/2016,"(40.819600000000001, -73.951942000000003)"
LINK-005213,Manhattan,109,40.820959999999999,-73.950862999999998,A - Link Live,139323,1580 AMSTERDAM AVENUE,134 SE,NY-MN,mn-09-139323,12/2/16,10/26/2016,"(40.820959999999999, -73.950862999999998)"
LINK-005221,Manhattan,109,40.825946999999999,-73.946951999999996,A - Link Live,120576,1739 AMSTERDAM AVENUE,315 NW,NY-MN,mn-09-120576,7/21/16,07/14/2016,"(40.825946999999999, -73.946951999999996)"
LINK-005422,Bronx,201,40.818885999999999,-73.929213000000004,A - Link Live,145688,518 GERARD AVE,,NY-BX,bx-01-145688,11/8/16,08/27/2016,"(40.818885999999999, -73.929213000000004)"
LINK-005426,Bronx,204,40.827548999999998,-73.925904000000003,A - Link Live,119160,52 EAST 161 STREET,,NY-BX,bx-04-119160,9/13/16,08/13/2016,"(40.827548999999998, -73.925904000000003)"
LINK-005427,Bronx,204,40.827354999999997,-73.925223000000003,A - Link Live,119159,72 EAST 161 STREET,358 N,NY-BX,bx-04-119159,7/19/16,07/01/2016,"(40.827354999999997, -73.925223000000003)"
LINK-005430,Bronx,204,40.827827999999997,-73.924841999999998,A - Link Live,113552,875 GERARD AVENUE,91 E,NY-BX,bx-04-113552,7/15/16,07/01/2016,"(40.827827999999997, -73.924841999999998)"
LINK-005435,Bronx,204,40.831544000000001,-73.922647999999995,A - Link Live,145687,1049 GERARD AVENUE,,NY-BX,bx-04-145687,1/17/17,08/27/2016,"(40.831544000000001, -73.922647999999995)"
LINK-005579,Bronx,207,40.867038000000001,-73.896536999999995,A - Link Live,145690,30 EAST KINGSBRIDGE ROAD,,NY-BX,bx-08-145690,11/8/16,08/27/2016,"(40.867038000000001, -73.896536999999995)"
LINK-005582,Bronx,207,40.866588,-73.895653999999993,A - Link Live,145689,60 EAST KINGSBRIDGE ROAD,,NY-BX,bx-08-145689,11/11/16,08/27/2016,"(40.866588, -73.895653999999993)"
LINK-005877,Manhattan,109,40.824578000000002,-73.952134000000001,A - Link Live,120359,600 WEST 142 STREET,,NY-MN,mn-09-120359,7/20/16,07/08/2016,"(40.824578000000002, -73.952134000000001)"
LINK-005878,Manhattan,109,40.822702999999997,-73.953498999999994,A - Link Live,120370,600 WEST 139 STREET,,NY-MN,mn-09-120370,7/19/16,07/08/2016,"(40.822702999999997, -73.953498999999994)"
LINK-005879,Manhattan,109,40.821917999999997,-73.953310000000002,A - Link Live,120422,551 WEST 138 STREET,,NY-MN,mn-09-120422,7/19/16,07/10/2016,"(40.821917999999997, -73.953310000000002)"
LINK-005882,Manhattan,109,40.814495999999998,-73.959350000000001,A - Link Live,136680,3153 BROADWAY,103 E,NY-MN,mn-09-136680,8/5/16,07/19/2016,"(40.814495999999998, -73.959350000000001)"
LINK-005931,Manhattan,109,40.805515999999997,-73.966052000000005,A - Link Live,120269,602 WEST 112 STREET,,NY-MN,mn-09-120269,7/20/16,07/02/2016,"(40.805515999999997, -73.966052000000005)"
LINK-005932,Manhattan,111,40.803766000000003,-73.936245,A - Link Live,144674,186 EAST 125 STREET,29 NE,NY-MN,mn-11-144674,11/2/16,10/15/2016,"(40.803766000000003, -73.936245)"
LINK-006026,Manhattan,111,40.799506999999998,-73.939041000000003,A - Link Live,107943,2166 3RD AVENUE,120 SE,NY-MN,mn-11-107943,6/15/16,05/27/2016,"(40.799506999999998, -73.939041000000003)"
LINK-006027,Manhattan,111,40.791201999999998,-73.944781000000006,A - Link Live,132876,1915 3RD AVENUE,300 NW,NY-MN,mn-11-132876,6/15/16,05/21/2016,"(40.791201999999998, -73.944781000000006)"
LINK-006029,Manhattan,109,40.809412000000002,-73.959029000000001,A - Link Live,120546,1221 AMSTERDAM AVE,,NY-MN,mn-09-120546,9/28/16,07/28/2016,"(40.809412000000002, -73.959029000000001)"
LINK-006031,Manhattan,109,40.817655999999999,-73.953006999999999,A - Link Live,120563,1481 AMSTERDAM AVENUE,,NY-MN,mn-09-120563,9/28/16,08/05/2016,"(40.817655999999999, -73.953006999999999)"
