"","LON","LAT","neighborhood"
"77",-73.9392870512185,40.6744696660788,"Crown Heights North"
"78",-73.9840509877311,40.7368244106987,"Gramercy"
"79",-73.9487837544364,40.6665390621737,"Crown Heights South"
"80",-73.9222510145979,40.6523644456533,"Rugby-Remsen Village"
"81",-73.8649014203528,40.8640046395346,"Bronxdale"
"82",-73.8589489553115,40.8821559436444,"Williamsbridge-Olinville"
"83",-73.8366443533364,40.8809349668757,"Eastchester-Edenwald-Baychester"
"84",-73.8474246961507,40.8644723228108,"Allerton-Pelham Gardens"
"85",-73.8824124164949,40.647526185235,"Starrett City"
"86",-74.0737056742014,40.6187746357062,"Stapleton-Rosebank"
"87",-73.9311912232284,40.7397673351983,"Hunters Point-Sunnyside-West Maspeth"
"88",-73.8196470934008,40.7430818460005,"Queensboro Hill"
"89",-73.9990090980588,40.7475813224562,"Hudson Yards-Chelsea-Flatiron-Union Square"
"90",-74.0015620231211,40.7330552750845,"West Village"
"91",-73.9379297623425,40.6439464133731,"East Flatbush-Farragut"
"92",-74.1253476718825,40.6168804013514,"Westerleigh"
"93",-74.1877115958389,40.52866991775,"Annadale-Huguenot-Prince's Bay-Eltingville"
"94",-74.233545567302,40.5255043019731,"Charleston-Richmond Valley-Tottenville"
"95",-73.7370056167403,40.7638407675954,"Douglas Manor-Douglaston-Little Neck"
"96",-73.9251122407934,40.696458430677,"Bushwick South"
"97",-73.9177650550544,40.7005605609809,"Bushwick North"
"98",-73.9017153221873,40.7065313909215,"Ridgewood"
"99",-73.7266553919411,40.7354860885318,"Bellerose"
"100",-73.711026179933,40.7459932070725,"Glen Oaks-Floral Park-New Hyde Park"
"101",-73.9051221924102,40.8490580390593,"Mount Hope"
"102",-73.9703256450903,40.6173147077089,"Ocean Parkway South"
"103",-73.8288653161717,40.7610920301536,"Flushing"
"104",-74.1023168496342,40.6389729265246,"West New Brighton-New Brighton-St. George"
"105",-74.0046786309281,40.7207669004458,"SoHo-TriBeCa-Civic Center-Little Italy"
"106",-73.9946299217429,40.7156069198272,"Chinatown"
"107",-73.9765815229465,40.7318125711326,"Stuyvesant Town-Cooper Village"
"108",-74.0717684754161,40.6003250241653,"Grasmere-Arrochar-Ft. Wadsworth"
"109",-74.0855126272869,40.5867917006511,"Old Town-Dongan Hills-South Beach"
"110",-73.9069848045992,40.8995339097553,"North Riverdale-Fieldston-Riverdale"
"111",-73.9106670763453,40.8824060511409,"Spuyten Duyvil-Kingsbridge"
"112",-73.9609682794575,40.6378998893375,"Flatbush"
"113",-73.8522151438475,40.8979310380786,"Woodlawn-Wakefield"
"114",-74.1225837196275,40.5619945490652,"Oakwood-Oakwood Beach"
"115",-73.9059120529029,40.8652636526137,"Kingsbridge Heights"
"116",-73.9159755566915,40.8525211204217,"University Heights-Morris Heights"
"117",-73.9128500845441,40.8182595979616,"Melrose South-Mott Haven North"
"118",-73.8765728314005,40.5714573115583,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"119",-73.7896199691322,40.5940614491424,"Hammels-Arverne-Edgemere"
"120",-73.8855217499466,40.8449652270511,"East Tremont"
"121",-73.850669071403,40.8467835755578,"Van Nest-Morris Park-Westchester Square"
"122",-73.8476722139567,40.7214308651534,"Forest Hills"
"123",-73.8287078991872,40.7080485779344,"Kew Gardens"
"124",-73.9748814075431,40.6907948953216,"Fort Greene"
"125",-73.9003169398507,40.8427483974998,"Claremont-Bathgate"
"126",-73.8995370438675,40.8581543946306,"Fordham South"
"127",-73.9373458254224,40.8011680705077,"East Harlem North"
"128",-73.9550911473317,40.7649656126921,"Lenox Hill-Roosevelt Island"
"129",-73.9387493749482,40.7575615993519,"Queensbridge-Ravenswood-Long Island City"
"130",-73.9168214234762,40.807346680788,"Mott Haven-Port Morris"
"131",-73.9054092066694,40.7774268439058,"Steinway"
"132",-73.7546150487299,40.7426748900272,"Oakland Gardens"
"133",-73.8428027341006,40.7809260183844,"College Point"
"134",-73.9157849158821,40.8305149805665,"East Concourse-Concourse Village"
"135",-73.8543946368411,40.8544049734655,"Pelham Parkway"
"136",-73.9859864975483,40.6929263357713,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"137",-73.872287506436,40.8341650960501,"West Farms-Bronx River"
"138",-73.8579888452659,40.8377465801028,"Parkchester"
"139",-73.8696822367498,40.8279003526284,"Soundview-Bruckner"
"140",-73.8901841592273,40.8676818563862,"Bedford Park-Fordham North"
"141",-73.8790210102332,40.8771420844938,"Norwood"
"142",-73.8855338678934,40.8120763063479,"Hunts Point"
"143",-73.8858994451292,40.8339895894211,"Crotona Park East"
"144",-74.0878393144952,40.6179726780918,"Grymes Hill-Clifton-Fox Hills"
"145",-74.102861272984,40.6300498858674,"New Brighton-Silver Lake"
"146",-73.828272132185,40.8739641781255,"Co-op City"
"147",-73.9675873857743,40.6776447735475,"Prospect Heights"
"148",-74.0120945164416,40.6224376989609,"Dyker Heights"
"149",-74.0298925817191,40.6248339923984,"Bay Ridge"
"150",-73.7553166949511,40.602454371135,"Far Rockaway-Bayswater"
"151",-73.8771184063748,40.7394943950988,"Elmhurst"
"152",-73.892173451234,40.7383165161557,"Elmhurst-Maspeth"
"153",-73.7645032714957,40.6621872994383,"Springfield Gardens South-Brookville"
"154",-73.8449430593516,40.6582424123213,"Lindenwood-Howard Beach"
"155",-73.7394585335361,40.6578444478848,"Rosedale"
"156",-73.8853208161082,40.7573110385006,"Jackson Heights"
"157",-73.7985596867226,40.6646146218507,"Airport"
"158",-73.8557666113538,40.6887213758585,"Woodhaven"
"159",-73.9948706071723,40.6954690917383,"Brooklyn Heights-Cobble Hill"
"160",-74.0038995469589,40.6787712227639,"Carroll Gardens-Columbia Street-Red Hook"
"161",-73.9586252467072,40.7149164077348,"North Side-South Side"
"162",-73.9485218589296,40.8270127125696,"Hamilton Heights"
"163",-73.9407716174191,40.8182579895556,"Central Harlem North-Polo Grounds"
"164",-74.1763945338072,40.5959240144249,"New Springville-Bloomfield-Travis"
"165",-74.1329832704667,40.5865543257864,"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"166",-73.9912262644884,40.5764801490114,"Seagate-Coney Island"
"167",-73.9733910855981,40.5790886682301,"West Brighton"
"168",-73.8768357238187,40.6609402262926,"East New York"
"169",-73.899739638936,40.6380468382667,"Canarsie"
"170",-73.8757495250233,40.7035354451005,"Glendale"
"171",-73.880053318729,40.7183378632495,"Middle Village"
"172",-73.9176499646402,40.8679096835572,"Marble Hill-Inwood"
"173",-73.8858671695648,40.8577796199073,"Belmont"
"174",-73.9512918873836,40.804332215684,"Central Harlem South"
"175",-73.9839035031557,40.6712280258883,"Park Slope-Gowanus"
"176",-74.0112678306912,40.6523574644784,"Sunset Park West"
"177",-73.8783345357499,40.6821782739936,"Cypress Hills-City Line"
"178",-73.9611750668896,40.7747292787705,"Upper East Side-Carnegie Hill"
"179",-73.9846989986293,40.7748470428154,"Lincoln Square"
"180",-73.945750819199,40.7900112109892,"East Harlem South"
"181",-73.9185339459706,40.623124536651,"park-cemetery-etc-Brooklyn"
"182",-73.8315126715516,40.6895399924162,"park-cemetery-etc-Queens"
"183",-73.9548217378391,40.7879474453186,"park-cemetery-etc-Manhattan"
"184",-73.8956222743057,40.8765131558058,"Van Cortlandt Village"
"185",-73.9625431817847,40.8078855897002,"Morningside Heights"
"186",-73.9739080779486,40.7903799002648,"Upper West Side"
"187",-73.9859371266439,40.7276204950888,"East Village"
"188",-73.9809123859697,40.7178410723877,"Lower East Side"
"189",-73.9328314060098,40.8571076825163,"Washington Heights North"
"190",-73.9413994044503,40.8417091959075,"Washington Heights South"
"191",-73.926158968051,40.8378258010563,"Highbridge"
"192",-73.924406423144,40.828988866706,"West Concourse"
"193",-73.856191031691,40.8180548756493,"Soundview-Castle Hill-Clason Point-Harding Park"
"194",-73.8480956519888,40.8724629034162,"park-cemetery-etc-Bronx"
