"","lon","lat","name","borough","neighborhood"
"1",-73.980613,-73.980613,1,NA,NA
"2",-73.89306,-73.89306,2,NA,NA
"3",-73.903244,-73.903244,3,NA,NA
"4",-73.898023,-73.898023,4,NA,NA
"5",-73.898581,-73.898581,5,NA,NA
"6",-73.898553,-73.898553,6,NA,NA
"7",-73.983364,-73.983364,7,NA,NA
"8",-73.98199,-73.98199,8,NA,NA
"9",-73.989217,-73.989217,9,NA,NA
"10",-73.989025,-73.989025,10,NA,NA
"11",-73.988661,-73.988661,11,NA,NA
"12",-73.988399,-73.988399,12,NA,NA
"13",-73.988006,-73.988006,13,NA,NA
"14",-73.987579,-73.987579,14,NA,NA
"15",-73.987391,-73.987391,15,NA,NA
"16",-73.986941,-73.986941,16,NA,NA
"17",-73.986363,-73.986363,17,NA,NA
"18",-73.984541,-73.984541,18,NA,NA
"19",-73.984867,-73.984867,19,NA,NA
"20",-73.98442,-73.98442,20,NA,NA
"21",-73.984234,-73.984234,21,NA,NA
"22",-73.984642,-73.984642,22,NA,NA
"23",-73.984278,-73.984278,23,NA,NA
"24",-73.983284,-73.983284,24,NA,NA
"25",-73.982638,-73.982638,25,NA,NA
"26",-73.98231,-73.98231,26,NA,NA
"27",-73.982385,-73.982385,27,NA,NA
"28",-73.987781,-73.987781,28,NA,NA
"29",-73.989421,-73.989421,29,NA,NA
"30",-73.996866,-73.996866,30,NA,NA
"31",-73.989779,-73.989779,31,NA,NA
"32",-73.998315,-73.998315,32,NA,NA
"33",-74.000948,-74.000948,33,NA,NA
"34",-73.999932,-73.999932,34,NA,NA
"35",-73.998106,-73.998106,35,NA,NA
"36",-73.997919,-73.997919,36,NA,NA
"37",-73.987162,-73.987162,37,NA,NA
"38",-73.987044,-73.987044,38,NA,NA
"39",-73.987384,-73.987384,39,NA,NA
"40",-73.986675,-73.986675,40,NA,NA
"41",-73.98618,-73.98618,41,NA,NA
"42",-73.980628,-73.980628,42,NA,NA
"43",-73.976353,-73.976353,43,NA,NA
"44",-73.976516,-73.976516,44,NA,NA
"45",-73.969132,-73.969132,45,NA,NA
"46",-73.982889,-73.982889,46,NA,NA
"47",-73.986265,-73.986265,47,NA,NA
"48",-73.98585,-73.98585,48,NA,NA
"49",-73.985322,-73.985322,49,NA,NA
"50",-73.974079,-73.974079,50,NA,NA
"51",-73.967177,-73.967177,51,NA,NA
"52",-73.9849,-73.9849,52,NA,NA
"53",-73.985171,-73.985171,53,NA,NA
"54",-73.985129,-73.985129,54,NA,NA
"55",-73.984751,-73.984751,55,NA,NA
"56",-73.984486,-73.984486,56,NA,NA
"57",-73.982489,-73.982489,57,NA,NA
"58",-73.982424,-73.982424,58,NA,NA
"59",-73.982043,-73.982043,59,NA,NA
"60",-73.982383,-73.982383,60,NA,NA
"61",-73.981729,-73.981729,61,NA,NA
"62",-73.981576,-73.981576,62,NA,NA
"63",-73.981297,-73.981297,63,NA,NA
"64",-73.98068,-73.98068,64,NA,NA
"65",-73.979813,-73.979813,65,NA,NA
"66",-73.979652,-73.979652,66,NA,NA
"67",-73.979316,-73.979316,67,NA,NA
"68",-73.978416,-73.978416,68,NA,NA
"69",-73.977444,-73.977444,69,NA,NA
"70",-73.977695,-73.977695,70,NA,NA
"71",-73.976965,-73.976965,71,NA,NA
"72",-73.976782,-73.976782,72,NA,NA
"73",-73.976105,-73.976105,73,NA,NA
"74",-73.976034,-73.976034,74,NA,NA
"75",-73.97536,-73.97536,75,NA,NA
"76",-73.975188,-73.975188,76,NA,NA
"77",-73.975648,-73.975648,77,NA,NA
"78",-73.974741,-73.974741,78,NA,NA
"79",-73.974858,-73.974858,79,NA,NA
"80",-73.974468,-73.974468,80,NA,NA
"81",-73.974143,-73.974143,81,NA,NA
"82",-73.973765,-73.973765,82,NA,NA
"83",-73.972842,-73.972842,83,NA,NA
"84",-73.972445,-73.972445,84,NA,NA
"85",-73.972326,-73.972326,85,NA,NA
"86",-73.97218,-73.97218,86,NA,NA
