"","lon","lat","name","borough","neighborhood"
"102",-74.0035019003,40.7070006997,1,NA,NA
"103",-74.0031966998,40.7066001999,1,NA,NA
"104",-74.0026015994,40.7051010003,1,NA,NA
"105",-74.0022963999,40.7047997001,1,NA,NA
"106",-74.0049973006,40.7070998998,1,NA,NA
"107",-74.0045012998,40.7065010001,1,NA,NA
"108",-74.0061035001,40.7062988002,1,NA,NA
"109",-74.0093001995,40.7048987998,1,NA,NA
"110",-74.0089035001,40.7047004998,1,NA,NA
"111",-74.0083008003,40.7047004998,1,NA,NA
"112",-74.0045885368,40.7445703086,5,NA,NA
"113",-74.0073877576,40.7431927759,5,NA,NA
"114",-74.005064964,40.7425912548,5,NA,NA
"115",-74.0032571552,40.7418393463,5,NA,NA
"116",-74.0076720715,40.7427538286,5,NA,NA
"117",-74.0062665941,40.7394860202,5,NA,NA
"118",-74.0066367391,40.7444079933,5,NA,NA
"119",-74.0042603013,40.7426075127,5,NA,NA
"120",-74.0051,40.7474,2,NA,NA
"121",-74.0029621124,40.7424774535,5,NA,NA
"122",-74.0007090572,40.7422986209,5,NA,NA
"123",-74.007017612,40.7436967487,5,NA,NA
"124",-74.0011113879,40.7415548385,5,NA,NA
"125",-74.0018570427,40.741900312,5,NA,NA
"126",-74.003412724,40.7439893758,5,NA,NA
"127",-74.0054512019,40.7409980115,5,NA,NA
"128",-74.0050435071,40.7441275609,5,NA,NA
"129",-74.006003738,40.7402582786,5,NA,NA
"130",-74.0052151686,40.7434061518,5,NA,NA
"131",-74.0017175673,40.7427700859,5,NA,NA
"132",-74.0034019945,40.7409492377,5,NA,NA
"133",-74.0068030355,40.7432415473,5,NA,NA
"134",-74.0036487581,40.7434366339,5,NA,NA
"135",-74.0019750591,40.7402745363,5,NA,NA
"136",-74.108185,40.61775,8,NA,NA
"137",-74.108185,40.61775,8,NA,NA
"138",-74.0040446358,40.7418463958,5,NA,NA
"139",-74.0080261233,40.7433065761,5,NA,NA
"140",-73.949511,40.720079,8,NA,NA
"141",-73.949511,40.720079,8,NA,NA
"142",-73.949511,40.720079,8,NA,NA
"143",-74.017875,40.625004,8,NA,NA
"144",-74.017344,40.625313,8,NA,NA
"145",-74.016509,40.62588,8,NA,NA
"146",-74.01579,40.62638,8,NA,NA
"147",-74.016787,40.626553,8,NA,NA
"148",-73.960502,40.715088,8,NA,NA
"149",-73.960502,40.715088,8,NA,NA
"150",-74.090642,40.568366,8,NA,NA
"151",-74.08949,40.569365,8,NA,NA
"152",-74.088547,40.570195,8,NA,NA
"153",-74.087293,40.571268,8,NA,NA
"154",-74.086013,40.572313,8,NA,NA
"155",-74.084406,40.573338,8,NA,NA
"156",-74.081683,40.575083,8,NA,NA
"157",-74.080677,40.575748,8,NA,NA
"158",-74.079987,40.576236,8,NA,NA
"159",-74.079624,40.576483,8,NA,NA
"160",-74.078581,40.577222,8,NA,NA
"161",-74.077993,40.577772,8,NA,NA
"162",-74.076801,40.578631,8,NA,NA
"163",-74.076359,40.579581,8,NA,NA
"164",-74.075899,40.579986,8,NA,NA
"165",-73.835528,40.710818,8,NA,NA
"166",-73.835599,40.709773,8,NA,NA
"167",-73.835515,40.710688,8,NA,NA
"168",-74.032091,40.639278,8,NA,NA
"169",-74.031933,40.639231,8,NA,NA
"170",-74.031896,40.639292,8,NA,NA
"171",-73.88777,40.658662,8,NA,NA
"172",-73.88744,40.658148,8,NA,NA
"173",-73.887583,40.658385,8,NA,NA
"174",-73.927311,40.825696,8,NA,NA
"175",-73.927731,40.825815,8,NA,NA
"176",-73.928134,40.825947,8,NA,NA
